,Wilderness_Area4,Wilderness_Area1,Subalpine_Climate,Alpine_Climate,binned_elevation,Wilderness_Area3,Road-Fire,Montane_Climate,Lower_Montane_Climate,Horizontal_Distance_To_Roadways_x_Horizontal_Distance_To_Fire_Points,Elevation_x_Horizontal_Distance_To_Roadways,Sqr_Horizontal_Distance_To_Roadways,Road-Hydro,Road+Fire+Hydro,Road+Fire,Horizontal_Distance_To_Roadways,Hillshade_9am_x_Hillshade_Noon,Elevation_x_Hillshade_Noon,Elevation_x_Hillshade_9am,Ele-hydro,Ele+road,Ele+hydro,Ele+fire,Ele+Road+Fire+Hydro,sqr_Horizontal_Distance_To_firepoints,sqr_Distance_To_Hydrology,Road+Hydro,Igneus_and_Metamorphic_Soil,Horizontal_Distance_To_Roadways_x_Hillshade_9am,Horizontal_Distance_To_Hydrology_x_Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Glacial_Soil,Ele-road,Ele-fire
0,0,1,1,0,51,0,5769,0,0,3202290,1323960,22.58317958127243,252,7047,6789,510,51272,602272,573716,2338,3106,2854,8875,9643,79.24014134263012,16.06237840420901,768,1,112710,38184,6279,0,2086,3683
1,0,1,1,0,51,0,5835,0,0,2427750,1010100,19.748417658131498,178,6827,6615,390,51700,608650,569800,2378,2980,2802,8815,9417,78.8986691902975,14.563134575526412,602,1,85800,32012,6225,0,2200,3635
2,0,1,0,0,56,0,2941,1,0,19464780,8916720,56.39148871948674,2912,9569,9301,3180,55692,667352,656136,2536,5984,3072,8925,12373,78.2368199762746,16.60631902507243,3448,1,744120,36180,6121,0,376,3317
3,0,1,1,0,55,0,3121,0,0,19191990,8605650,55.58776843874919,2848,9543,9301,3090,56644,662830,662830,2543,5875,3027,8996,12328,78.8098978555359,16.408411135572948,3332,1,735420,29524,6211,0,305,3426
4,0,1,1,0,51,0,5781,0,0,2413252,1014645,19.77371993328519,238,6716,6563,391,51480,607230,570900,2442,2986,2748,8767,9311,78.56207736560943,12.369448974750497,544,1,86020,22950,6172,0,2204,3577
5,0,1,1,0,51,0,5964,0,0,404077,172793,8.18535277187245,233,6398,6098,67,54510,611223,593170,2279,2646,2879,8610,8977,77.6595132614157,17.331323259275727,367,1,15410,42000,6031,0,2512,3452
6,0,1,1,0,52,0,5623,0,0,3960048,1649598,25.15949125081825,363,7159,6889,633,49950,586350,578532,2336,3239,2876,8862,9765,79.09487973314076,16.433085295458536,903,1,140526,37260,6256,0,1973,3650
7,0,1,1,0,52,0,5655,0,0,3568644,1492665,23.93741840717165,339,7035,6801,573,51060,599150,578310,2371,3178,2839,8833,9640,78.91767862779544,15.300479647433411,807,1,127206,33696,6228,0,2032,3623
8,0,1,1,0,52,0,5578,0,0,4158504,1742922,25.80697580112788,426,7150,6910,666,49283,578357,583591,2377,3283,2857,8861,9767,79.01898506055365,15.698622513201272,906,1,148518,31920,6244,0,1951,3627
9,0,1,1,0,52,0,5594,0,0,3962280,1661232,25.219040425836983,389,7113,6866,636,49932,572028,595536,2365,3248,2859,8842,9725,78.93034904268447,15.724020412848395,883,1,145008,30628,6230,0,1976,3618
10,0,1,0,0,52,0,5487,0,0,4573170,1919820,27.110883423451916,555,7137,6957,735,52974,634716,569416,2432,3347,2792,8834,9749,78.87965517166008,13.677921696369898,915,1,160230,28980,6222,0,1877,3610
11,0,1,1,0,57,0,1202,0,0,21279903,15160158,72.47758274114831,4882,9675,9304,5253,56160,692640,675324,2515,8139,3257,6937,12561,63.647466563878254,19.284966562942536,5624,1,1229202,50456,4051,0,2367,1165
12,0,1,1,0,54,0,2876,0,0,19582565,8815530,56.70097000933934,3065,9456,9306,3215,55552,614208,680016,2592,5957,2892,8833,12198,78.04485889538144,12.849476832533073,3365,1,797320,13800,6091,0,473,3349
13,0,1,0,0,52,0,5440,0,0,4788681,2011539,27.76688675382964,621,7132,6982,771,52611,644423,555717,2459,3380,2759,8820,9741,78.8098978555359,12.525768210359056,921,1,164223,25500,6211,0,1838,3602
14,0,1,0,0,50,0,4926,0,0,3774400,1687022,25.96150997149434,607,6341,6274,674,53760,600720,560672,2436,3177,2570,8103,8844,74.83314773547883,8.19263674150144,741,1,150976,10117,5600,0,1829,3097
15,0,1,0,0,49,0,4824,0,0,4193152,1876240,27.422618401604176,710,6370,6328,752,50400,561375,558880,2453,3247,2537,8071,8865,74.67261881037788,6.484411467763075,794,0,168448,5754,5576,0,1743,3081
16,0,1,1,0,52,0,5489,0,0,3700272,1584270,24.63736998950984,487,6823,6703,607,51624,623790,563760,2490,3217,2730,8706,9433,78.07688518377255,10.954641326594459,727,1,131112,19320,6096,0,2003,3486
