,Wilderness_Area1,Wilderness_Area3,Wilderness_Area4,Horizontal_Distance_To_Hydrology_x_Hillshade_3pm,Hillshade_9am_x_Hillshade_Noon,binned_elevation,Road+Fire,Lower_Montane_Climate,Montane_Climate,Montante_and_Subalpine_Climate,Subalpine_Climate,Alpine_Climate,Alluvium_Soil,Igneus_and_Metamorphic_Soil,Type_Stony
0,1,0,0,38184,51272,51,6789,0,0,0,1,0,0,1,1
1,1,0,0,32012,51700,51,6615,0,0,0,1,0,0,1,1
2,1,0,0,36180,55692,56,9301,0,1,0,0,0,0,1,1
3,1,0,0,29524,56644,55,9301,0,0,0,1,0,0,1,1
4,1,0,0,22950,51480,51,6563,0,0,0,1,0,0,1,1
5,1,0,0,42000,54510,51,6098,0,0,0,1,0,0,1,1
6,1,0,0,37260,49950,52,6889,0,0,0,1,0,0,1,1
7,1,0,0,33696,51060,52,6801,0,0,0,1,0,0,1,1
8,1,0,0,31920,49283,52,6910,0,0,0,1,0,0,1,1
9,1,0,0,30628,49932,52,6866,0,0,0,1,0,0,1,1
10,1,0,0,28980,52974,52,6957,0,0,1,0,0,0,1,1
11,1,0,0,50456,56160,57,9304,0,0,0,1,0,0,1,1
12,1,0,0,13800,55552,54,9306,0,0,0,1,0,0,1,1
13,1,0,0,25500,52611,52,6982,0,0,1,0,0,0,1,1
14,1,0,0,10117,53760,50,6274,0,0,1,0,0,0,1,1
15,1,0,0,5754,50400,49,6328,0,0,1,0,0,1,0,0
16,1,0,0,19320,51624,52,6703,0,0,0,1,0,0,1,1
17,1,0,0,11305,51756,50,6202,0,0,1,0,0,0,1,1
18,1,0,0,14820,49648,50,6263,0,0,1,0,0,0,1,1
19,1,0,0,12240,50160,50,6296,0,0,1,0,0,0,1,1
20,1,0,0,7560,51290,50,6314,0,0,1,0,0,0,1,1
21,1,0,0,38664,52118,57,9309,0,0,0,1,0,0,1,1
22,1,0,0,13632,52668,55,9311,0,0,0,1,0,0,1,1
23,1,0,0,16120,49950,50,6207,0,0,1,0,0,0,1,1
24,1,0,0,17160,47515,50,6266,0,0,1,0,0,0,1,1
25,1,0,0,0,54273,49,6354,0,0,1,0,0,0,1,1
26,1,0,0,4350,55890,49,6335,0,0,1,0,0,0,1,1
27,1,0,0,38760,56640,59,9311,0,0,0,1,0,0,1,1
28,1,0,0,32648,52360,56,9313,0,1,0,0,0,0,1,1
29,1,0,0,9017,53130,54,9314,0,0,0,1,0,0,1,1
30,1,0,0,3484,51054,54,9314,0,0,0,1,0,0,1,1
31,1,0,0,15600,53823,50,6164,0,0,1,0,0,0,1,1
32,1,0,0,16988,53590,50,6175,0,0,1,0,0,0,1,1
33,1,0,0,22050,49032,50,6199,0,0,1,0,0,0,1,1
34,1,0,0,21546,48620,50,6212,0,0,1,0,0,0,1,1
35,1,0,0,24200,43095,58,9314,0,0,0,1,0,0,1,1
36,1,0,0,4087,52371,54,9318,0,0,0,1,0,0,1,1
37,1,0,0,23842,52899,50,6216,0,0,1,0,0,0,1,1
38,1,0,0,4464,46116,54,9321,0,0,0,1,0,0,1,1
39,1,0,0,0,43800,53,9322,0,0,0,1,0,0,1,1
40,1,0,0,0,49842,53,8949,0,0,0,1,0,1,0,0
41,1,0,0,0,50525,51,6076,0,0,0,1,0,0,1,1
42,1,0,0,18900,51290,50,6129,0,0,1,0,0,0,1,1
43,1,0,0,5520,28762,54,9327,0,0,1,0,0,1,0,0
44,1,0,0,13395,54044,53,8206,0,1,0,0,0,0,1,1
