,Cover_Type
0,5
1,5
2,2
3,2
4,5
5,2
6,5
7,5
8,5
9,5
10,5
11,2
12,2
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,2
22,5
23,5
24,5
25,5
26,5
27,2
28,2
29,5
30,5
31,5
32,5
33,5
34,5
35,2
36,5
37,5
38,5
39,5
40,1
41,2
42,5
43,5
44,2
45,5
46,5
47,5
48,5
49,5
50,5
51,1
52,1
53,5
54,5
55,1
56,5
57,5
58,5
59,5
60,5
61,2
62,2
63,5
64,5
65,5
66,5
67,1
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,1
79,2
80,1
81,2
82,1
83,1
84,2
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,1
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,1
104,2
105,2
106,2
107,2
108,1
109,2
110,1
111,1
112,2
113,2
114,2
115,1
116,2
117,1
118,2
119,1
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,1
133,2
134,2
135,2
136,1
137,1
138,2
139,2
140,1
141,2
142,2
143,2
144,2
145,2
146,1
147,2
148,2
149,2
150,1
151,1
152,2
153,2
154,2
155,2
156,1
157,2
158,2
159,2
160,1
161,1
162,2
163,2
164,1
165,1
166,2
167,2
168,2
169,1
170,2
171,1
172,2
173,2
174,1
175,1
176,2
177,2
178,2
179,1
180,2
181,2
182,1
183,2
184,1
185,1
186,1
187,2
188,2
189,1
190,1
191,2
192,2
193,1
194,2
195,2
196,1
197,2
198,2
199,2
200,2
201,1
202,2
203,1
204,1
205,2
206,1
207,2
208,2
209,2
210,1
211,2
212,2
213,2
214,2
215,1
216,1
217,1
218,1
219,2
220,2
221,2
222,1
223,2
224,1
225,2
226,2
227,2
228,1
229,2
230,2
231,1
232,2
233,2
234,2
235,2
236,1
237,1
238,2
239,2
240,2
241,2
242,1
243,2
244,1
245,2
246,1
247,2
248,2
249,2
250,2
251,1
252,1
253,2
254,2
255,2
256,2
257,1
258,2
259,2
260,1
261,1
262,2
263,1
264,2
265,1
266,2
267,2
268,1
269,2
270,1
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,1
284,1
285,2
286,1
287,1
288,2
289,2
290,2
291,2
292,1
293,2
294,2
295,2
296,2
297,1
298,1
299,1
300,2
301,2
302,2
303,2
304,1
305,1
306,2
307,2
308,2
309,2
310,2
311,1
312,2
313,2
314,1
315,2
316,2
317,1
318,1
319,1
320,2
321,2
322,1
323,1
324,1
325,2
326,1
327,1
328,1
329,1
330,2
331,1
332,2
333,2
334,2
335,1
336,1
337,2
338,1
339,2
340,2
341,2
342,2
343,2
344,1
345,1
346,1
347,2
348,2
349,1
350,1
351,1
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,1
364,2
365,2
366,1
367,1
368,1
369,2
370,2
371,2
372,1
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,1
382,1
383,2
384,5
385,5
386,5
387,5
388,2
389,5
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,1
399,2
400,2
401,2
402,2
403,2
404,5
405,5
406,1
407,2
408,2
409,2
410,1
411,5
412,5
413,5
414,1
415,1
416,1
417,1
418,5
419,5
420,5
421,1
422,2
423,1
424,5
425,5
426,5
427,5
428,5
429,5
430,1
431,2
432,2
433,1
434,2
435,5
436,5
437,5
438,2
439,2
440,1
441,2
442,2
443,1
444,2
445,2
446,2
447,2
448,1
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,1
460,2
461,2
462,2
463,1
464,2
465,2
466,1
467,2
468,1
469,1
470,2
471,1
472,2
473,2
474,2
475,2
476,2
477,2
478,1
479,2
480,2
481,1
482,2
483,2
484,1
485,1
486,2
487,1
488,1
489,1
490,2
491,2
492,1
493,2
494,2
495,2
496,2
497,2
498,2
499,1
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,1
508,2
509,2
510,2
511,2
512,1
513,2
514,1
515,1
516,2
517,2
518,2
519,2
520,1
521,1
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,1
530,1
531,2
532,1
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,1
